Date : 2024-09-26 21:37:27
Directory : c:\xampp\htdocs\laravel\StoreYourVintage
Total : 121 files,  27570 codes, 1277 comments, 6924 blanks, all 35771 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\Auth\LoginController.php                 | PHP        |         26 |         18 |          9 |         53 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\Auth\RegisterController.php              | PHP        |         43 |         33 |         11 |         87 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\Auth\ResetPasswordController.php         | PHP        |          9 |         10 |          6 |         25 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\Auth\VerificationController.php          | PHP        |         15 |         21 |          7 |         43 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\CategoryController.php                   | PHP        |         46 |          7 |         10 |         63 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\Controller.php                           | PHP        |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\CustomerController.php                   | PHP        |         32 |          4 |          7 |         43 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\HomeController.php                       | PHP        |         14 |         10 |          5 |         29 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\OrderController.php                      | PHP        |         12 |          1 |          4 |         17 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\ProductController.php                    | PHP        |        131 |         13 |         22 |        166 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Http\Controllers\UserController.php                       | PHP        |         87 |         13 |         19 |        119 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Mail\ResetPassword.php                                    | PHP        |         33 |         18 |          9 |         60 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Mail\UsersCreateMail.php                                  | PHP        |         35 |         22 |          9 |         66 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Audit.php                                          | PHP        |         18 |          0 |          6 |         24 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Category.php                                       | PHP        |         14 |          0 |          6 |         20 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Color.php                                          | PHP        |         14 |          0 |          6 |         20 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Customer.php                                       | PHP        |         23 |          0 |          8 |         31 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Order.php                                          | PHP        |          8 |          0 |          5 |         13 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Product.php                                        | PHP        |         71 |          0 |         17 |         88 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\ReturnOrder.php                                    | PHP        |          8 |          0 |          4 |         12 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\Size.php                                           | PHP        |         15 |          0 |          6 |         21 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\State.php                                          | PHP        |         12 |          0 |          5 |         17 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Models\User.php                                           | PHP        |         30 |         15 |          7 |         52 |
| c:\xampp\htdocs\laravel\StoreYourVintage\app\Providers\AppServiceProvider.php                          | PHP        |         12 |         10 |          5 |         27 |
| c:\xampp\htdocs\laravel\StoreYourVintage\bootstrap\app.php                                             | PHP        |         14 |          2 |          3 |         19 |
| c:\xampp\htdocs\laravel\StoreYourVintage\bootstrap\providers.php                                       | PHP        |          4 |          0 |          2 |          6 |
| c:\xampp\htdocs\laravel\StoreYourVintage\composer.json                                                 | JSON       |         67 |          0 |          1 |         68 |
| c:\xampp\htdocs\laravel\StoreYourVintage\composer.lock                                                 | JSON       |      8,763 |          0 |          1 |      8,764 |
| c:\xampp\htdocs\laravel\StoreYourVintage\config\app.php                                                | PHP        |         22 |         82 |         23 |        127 |
| c:\xampp\htdocs\laravel\StoreYourVintage\config\auth.php                                               | PHP        |         28 |         70 |         13 |        111 |
| c:\xampp\htdocs\laravel\StoreYourVintage\config\cache.php                                              | PHP        |         57 |         34 |         18 |        109 |
| c:\xampp\htdocs\laravel\StoreYourVintage\config\database.php                                           | PHP        |        108 |         43 |         23 |        174 |
| c:\xampp\htdocs\laravel\StoreYourVintage\config\filesystems.php                                        | PHP        |         33 |         32 |         13 |         78 |
| c:\xampp\htdocs\laravel\StoreYourVintage\config\logging.php                                            | PHP        |         79 |         33 |         21 |        133 |
| c:\xampp\htdocs\laravel\StoreYourVintage\config\mail.php                                               | PHP        |         55 |         43 |         19 |        117 |
| c:\xampp\htdocs\laravel\StoreYourVintage\config\queue.php                                              | PHP        |         52 |         44 |         17 |        113 |
| c:\xampp\htdocs\laravel\StoreYourVintage\config\services.php                                           | PHP        |         20 |         11 |          8 |         39 |
| c:\xampp\htdocs\laravel\StoreYourVintage\config\session.php                                            | PHP        |         23 |        160 |         35 |        218 |
| c:\xampp\htdocs\laravel\StoreYourVintage\database\factories\UserFactory.php                            | PHP        |         25 |         14 |          6 |         45 |
| c:\xampp\htdocs\laravel\StoreYourVintage\database\migrations\0001_01_01_000000_create_users_table.php  | PHP        |         42 |          6 |          6 |         54 |
| c:\xampp\htdocs\laravel\StoreYourVintage\database\migrations\0001_01_01_000001_create_cache_table.php  | PHP        |         25 |          6 |          5 |         36 |
| c:\xampp\htdocs\laravel\StoreYourVintage\database\migrations\0001_01_01_000002_create_jobs_table.php   | PHP        |         46 |          6 |          6 |         58 |
