"filename", "language", "PHP", "JavaScript", "SCSS", "JSON", "Markdown", "XML", "CSS", "MS SQL", "comment", "blank", "total"
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\auth\register.blade.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 13, 85
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\categories\create.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\categories\edit.blade.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\categories\index.blade.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\customers\customers.blade.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 0, 4, 69
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\emails\createUsers.blade.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\emails\resetPassword.blade.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\error.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\home.blade.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\layouts\app.blade.php", "PHP", 102, 0, 0, 0, 0, 0, 0, 0, 0, 15, 117
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\products\edit.blade.php", "PHP", 114, 0, 0, 0, 0, 0, 0, 0, 0, 14, 128
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\products\index.blade.php", "PHP", 160, 0, 0, 0, 0, 0, 0, 0, 8, 24, 192
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\users\manager\edit.blade.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\users\manager\manager.blade.php", "PHP", 98, 0, 0, 0, 0, 0, 0, 0, 0, 13, 111
"c:\xampp\htdocs\laravel\StoreYourVintage\resources\views\users\profile.blade.php", "PHP", 80, 0, 0, 0, 0, 0, 0, 0, 0, 12, 92
"c:\xampp\htdocs\laravel\StoreYourVintage\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\xampp\htdocs\laravel\StoreYourVintage\routes\web.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 8, 10, 49
"c:\xampp\htdocs\laravel\StoreYourVintage\tests\Pest.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 32, 7, 48
"c:\xampp\htdocs\laravel\StoreYourVintage\tests\TestCase.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\laravel\StoreYourVintage\tests\Unit\ExampleTest.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\xampp\htdocs\laravel\StoreYourVintage\vite.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"Total", "-", 2878, 236, 7, 10081, 45, 33, 13702, 588, 1277, 6924, 35771
